2025-06-09 19:29:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:30:04 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 1 | Unique IPs: 1 | Total Requests: 3 | Page Views: 0
2025-06-09 19:30:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:31:04 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 1 | Total Requests: 3 | Page Views: 0
2025-06-09 19:31:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:32:04 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 1 | Total Requests: 3 | Page Views: 0
2025-06-09 19:32:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:33:04 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 1 | Total Requests: 3 | Page Views: 0
2025-06-09 19:33:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:34:04 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 1 | Total Requests: 3 | Page Views: 0
2025-06-09 19:34:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:35:04 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 1 | Total Requests: 3 | Page Views: 0
2025-06-09 19:35:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:36:04 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 1 | Total Requests: 3 | Page Views: 0
2025-06-09 19:36:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:37:16 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:37:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:40:06 | INFO | NEW_USER | Session: a2bdcbe8... | IP: 127.0.0.1 | Total Active: 1
2025-06-09 19:40:59 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:41:01 | INFO | STATS | Active: 1 | Last 1min: 1 | Last 5min: 1 | Unique IPs: 1 | Total Requests: 1 | Page Views: 0
2025-06-09 19:41:59 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:42:01 | INFO | STATS | Active: 1 | Last 1min: 1 | Last 5min: 1 | Unique IPs: 1 | Total Requests: 2 | Page Views: 0
2025-06-09 19:42:59 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:43:01 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 1 | Unique IPs: 1 | Total Requests: 2 | Page Views: 0
2025-06-09 19:54:39 | INFO | NEW_USER | Session: a2bdcbe8... | IP: 127.0.0.1 | Total Active: 1
2025-06-09 19:55:34 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:55:36 | INFO | STATS | Active: 1 | Last 1min: 1 | Last 5min: 1 | Unique IPs: 1 | Total Requests: 1 | Page Views: 0
2025-06-09 19:56:34 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:56:36 | INFO | STATS | Active: 1 | Last 1min: 1 | Last 5min: 1 | Unique IPs: 1 | Total Requests: 3 | Page Views: 0
2025-06-09 19:57:34 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
